timestamp,pid,comm,cpu_ms,syscalls,page_faults
1785517860.13295,5287,pipewire,8.88,658,0
1785517860.13295,10763,Isolated Web Co,1.79,87,0
1785517860.13295,4715,grafana,7.58,470,0
1785517860.13295,5293,pipewire-pulse,14.83,1412,0
1785517860.13295,5674,gnome-shell,35.24,4193,0
1785517860.13295,8507,gnome-terminal-,37.7,1847,16
1785517860.13295,5463,Xorg,37.71,3132,2
1785517860.13295,10149,Isolated Web Co,60.04,2492,0
1785517860.13295,9103,firefox,37.11,3021,2
1785517860.13295,1187,snapd,7.72,32,0
1785517860.13295,9322,Privileged Cont,13.42,44,3
1785517861.1358979,5287,pipewire,9.93,658,0
1785517861.1358979,10763,Isolated Web Co,2.06,74,0
1785517861.1358979,4715,grafana,8.27,506,0
1785517861.1358979,5293,pipewire-pulse,15.97,1418,0
1785517861.1358979,11561,python3,2.86,37,0
1785517861.1358979,5674,gnome-shell,5.38,358,2
1785517861.1358979,8507,gnome-terminal-,4.09,84,0
1785517861.1358979,5463,Xorg,4.58,289,0
1785517861.1358979,10149,Isolated Web Co,64.41,2534,1
1785517861.1358979,9103,firefox,47.73,3460,1
1785517861.1358979,1100,systemd-resolve,1.14,85,0
1785517862.1387143,5287,pipewire,9.84,658,0
1785517862.1387143,4715,grafana,7.26,447,0
1785517862.1387143,5293,pipewire-pulse,16.34,1416,0
1785517862.1387143,11561,python3,2.67,49,0
1785517862.1387143,5674,gnome-shell,4.43,374,0
1785517862.1387143,10389,kworker/4:0-i915-unordered,2.53,0,0
1785517862.1387143,8507,gnome-terminal-,2.42,55,0
1785517862.1387143,5463,Xorg,3.5,239,0
1785517862.1387143,10149,Isolated Web Co,65.26,2505,0
1785517862.1387143,9103,firefox,44.55,3227,0
1785517862.1387143,1100,systemd-resolve,1.2,75,0
1785517863.1413283,5287,pipewire,10.0,658,0
1785517863.1413283,10763,Isolated Web Co,1.17,36,0
1785517863.1413283,4715,grafana,8.18,478,0
1785517863.1413283,5293,pipewire-pulse,16.4,1410,0
1785517863.1413283,11561,python3,2.5,41,0
1785517863.1413283,5674,gnome-shell,2.76,200,0
1785517863.1413283,8507,gnome-terminal-,2.85,39,0
1785517863.1413283,5463,Xorg,3.0,162,0
1785517863.1413283,10149,Isolated Web Co,65.87,2465,0
1785517863.1413283,9103,firefox,35.58,2750,0
1785517864.14388,5287,pipewire,10.18,658,0
1785517864.14388,10763,Isolated Web Co,2.72,96,0
1785517864.14388,4715,grafana,8.8,488,0
1785517864.14388,5293,pipewire-pulse,15.91,1418,0
1785517864.14388,11561,python3,2.5,51,0
1785517864.14388,5674,gnome-shell,4.23,306,0
1785517864.14388,8507,gnome-terminal-,3.55,55,0
1785517864.14388,5463,Xorg,4.47,228,0
1785517864.14388,80,irq/9-acpi,4.97,0,0
1785517864.14388,10149,Isolated Web Co,62.88,2467,1
1785517864.14388,1396,upowerd,7.52,82,0
1785517864.14388,9103,firefox,53.84,3579,0
1785517864.14388,1100,systemd-resolve,1.2,76,0
1785517864.14388,9579,WebExtensions,1.84,67,0
1785517865.1467962,5287,pipewire,10.58,658,0
1785517865.1467962,10763,Isolated Web Co,3.65,78,0
1785517865.1467962,4715,grafana,6.72,414,0
1785517865.1467962,5293,pipewire-pulse,16.21,1418,0
1785517865.1467962,11561,python3,2.87,35,0
1785517865.1467962,5674,gnome-shell,4.19,300,0
1785517865.1467962,8507,gnome-terminal-,3.63,55,0
1785517865.1467962,5463,Xorg,4.63,252,0
1785517865.1467962,10149,Isolated Web Co,66.12,2469,0
1785517865.1467962,9103,firefox,35.15,2790,0
1785517866.1491237,5287,pipewire,10.42,658,0
1785517866.1491237,10763,Isolated Web Co,16.24,60,1
1785517866.1491237,4715,grafana,8.29,508,0
1785517866.1491237,5293,pipewire-pulse,15.14,1410,0
1785517866.1491237,11561,python3,2.27,47,0
1785517866.1491237,5674,gnome-shell,2.87,200,0
1785517866.1491237,8507,gnome-terminal-,2.86,39,0
1785517866.1491237,5463,Xorg,3.1,157,0
1785517866.1491237,10149,Isolated Web Co,63.88,2484,0
1785517866.1491237,9103,firefox,50.09,3508,0
1785517866.1491237,1100,systemd-resolve,1.5,87,0
1785517867.1517217,5287,pipewire,10.68,658,0
